Domain,Area,Element,Item,Year,Unit,Value,Flag,Flag Description
"Land Use","World","Area","Forest land","1990","1000 ha","4343527.62","X","Figure from external organization"
"Land Use","World","Area","Forest land","1991","1000 ha","4332832.888","E","Estimated value"
"Land Use","World","Area","Forest land","1992","1000 ha","4322138.156","E","Estimated value"
"Land Use","World","Area","Forest land","1993","1000 ha","4311443.424","E","Estimated value"
"Land Use","World","Area","Forest land","1994","1000 ha","4300748.692","E","Estimated value"
"Land Use","World","Area","Forest land","1995","1000 ha","4290053.96","E","Estimated value"
"Land Use","World","Area","Forest land","1996","1000 ha","4279359.228","E","Estimated value"
"Land Use","World","Area","Forest land","1997","1000 ha","4268664.496","E","Estimated value"
"Land Use","World","Area","Forest land","1998","1000 ha","4257969.764","E","Estimated value"
"Land Use","World","Area","Forest land","1999","1000 ha","4247275.032","E","Estimated value"
"Land Use","World","Area","Forest land","2000","1000 ha","4236580.3","X","Figure from external organization"
"Land Use","World","Area","Forest land","2001","1000 ha","4233021.685","E","Estimated value"
"Land Use","World","Area","Forest land","2002","1000 ha","4229463.07","E","Estimated value"
"Land Use","World","Area","Forest land","2003","1000 ha","4225904.455","E","Estimated value"
"Land Use","World","Area","Forest land","2004","1000 ha","4222345.84","E","Estimated value"
"Land Use","World","Area","Forest land","2005","1000 ha","4218787.225","E","Estimated value"
"Land Use","World","Area","Forest land","2006","1000 ha","4215228.61","E","Estimated value"
"Land Use","World","Area","Forest land","2007","1000 ha","4211669.995","E","Estimated value"
"Land Use","World","Area","Forest land","2008","1000 ha","4208111.38","E","Estimated value"
"Land Use","World","Area","Forest land","2009","1000 ha","4204552.765","E","Estimated value"
"Land Use","World","Area","Forest land","2010","1000 ha","4200994.15","X","Figure from external organization"
"Land Use","World","Area","Forest land","2011","1000 ha","4197086.74","E","Estimated value"
"Land Use","World","Area","Forest land","2012","1000 ha","4193173.51","E","Estimated value"
"Land Use","World","Area","Forest land","2013","1000 ha","4189260.28","E","Estimated value"
"Land Use","World","Area","Forest land","2014","1000 ha","4185347.05","E","Estimated value"
"Land Use","World","Area","Forest land","2015","1000 ha","4181433.82","X","Figure from external organization"
"Land Use","World","Area","Forest land","2016","1000 ha","4178195.034","E","Estimated value"
"Land Use","World","Area","Forest land","2017","1000 ha","4174956.248","E","Estimated value"
"Land Use","World","Area","Forest land","2018","1000 ha","4171717.462","E","Estimated value"
"Land Use","World","Area","Forest land","2019","1000 ha","4168478.676","E","Estimated value"
"Land Use","World","Area","Forest land","2020","1000 ha","4165239.89","X","Figure from external organization"
"Land Use","World","Area","Forest land","2021","1000 ha","4160234.958","E","Estimated value"
"Land Use","World","Area","Forest land","2022","1000 ha","4155230.026","E","Estimated value"
"Land Use","World","Area","Forest land","2023","1000 ha","4150225.094","E","Estimated value"
"Land Use","World","Area","Forest land","2024","1000 ha","4145220.162","E","Estimated value"
"Land Use","World","Area","Forest land","2025","1000 ha","4140215.23","X","Figure from external organization"
