# Title: Global Land and Ocean February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Anomaly
1960,0.07
1961,0
1962,0.07
1963,0.04
1964,0.05
1965,-0.18
1966,-0.09
1967,-0.03
1968,-0.01
1969,-0.04
1970,0.11
1971,0.02
1972,-0.09
1973,0.09
1974,0.14
1975,-0.04
1976,-0.01
1977,-0.04
1978,0.19
1979,0.12
1980,0.2
1981,0.3
1982,0.3
1983,0.19
1984,0.31
1985,0.17
1986,0.14
1987,0.23
1988,0.34
1989,0.35
1990,0.28
1991,0.42
1992,0.41
1993,0.23
1994,0.25
1995,0.34
1996,0.44
1997,0.34
1998,0.5
1999,0.6
2000,0.39
2001,0.41
2002,0.55
2003,0.59
2004,0.59
2005,0.55
2006,0.65
2007,0.66
2008,0.57
2009,0.56
2010,0.65
2011,0.69
2012,0.6
2013,0.65
2014,0.67
2015,0.74
2016,0.91
2017,0.99
2018,0.91
2019,0.87
2020,1.01
2021,0.98
2022,0.87
2023,0.89
2024,1.2
2025,1.26
2026,1.11
