Entity,Code,Year,ghg_emissions
Asia,OWID_ASI,1970,8028054000
Asia,OWID_ASI,1971,8126615600
Asia,OWID_ASI,1972,8826984000
Asia,OWID_ASI,1973,9033550000
Asia,OWID_ASI,1974,9016458000
Asia,OWID_ASI,1975,9057660000
Asia,OWID_ASI,1976,9141001000
Asia,OWID_ASI,1977,9882147000
Asia,OWID_ASI,1978,10311889000
Asia,OWID_ASI,1979,9872497000
Asia,OWID_ASI,1980,9767297000
Asia,OWID_ASI,1981,9621729000
Asia,OWID_ASI,1982,9605694000
Asia,OWID_ASI,1983,9940959000
Asia,OWID_ASI,1984,10809312000
Asia,OWID_ASI,1985,11296545000
Asia,OWID_ASI,1986,11920062000
Asia,OWID_ASI,1987,11855807000
Asia,OWID_ASI,1988,12223661000
Asia,OWID_ASI,1989,12361843000
Asia,OWID_ASI,1990,12304038000
Asia,OWID_ASI,1991,12914600000
Asia,OWID_ASI,1992,12956330000
Asia,OWID_ASI,1993,13133801000
Asia,OWID_ASI,1994,13853101000
Asia,OWID_ASI,1995,14101621000
Asia,OWID_ASI,1996,14599263000
Asia,OWID_ASI,1997,16400346000
Asia,OWID_ASI,1998,14449171000
Asia,OWID_ASI,1999,14875187000
Asia,OWID_ASI,2000,15223786000
Asia,OWID_ASI,2001,15091465000
Asia,OWID_ASI,2002,15833838000
Asia,OWID_ASI,2003,16659462000
Asia,OWID_ASI,2004,17570075000
Asia,OWID_ASI,2005,18444851000
Asia,OWID_ASI,2006,20054036000
Asia,OWID_ASI,2007,20395618000
Asia,OWID_ASI,2008,21354332000
Asia,OWID_ASI,2009,22301698000
Asia,OWID_ASI,2010,23224924000
Asia,OWID_ASI,2011,24820847000
Asia,OWID_ASI,2012,25514310000
Asia,OWID_ASI,2013,25780630000
Asia,OWID_ASI,2014,26303520000
Asia,OWID_ASI,2015,26745592000
Asia,OWID_ASI,2016,25802910000
Asia,OWID_ASI,2017,26280935000
Asia,OWID_ASI,2018,26961553000
Asia,OWID_ASI,2019,27680395000
Asia,OWID_ASI,2020,27097293000
Asia,OWID_ASI,2021,28018821000
Asia,OWID_ASI,2022,28784644000
Asia,OWID_ASI,2023,29736806000
Asia,OWID_ASI,2024,30119540000
Asia (excl. China and India),,1970,4630839300
Asia (excl. China and India),,1971,4889326000
Asia (excl. China and India),,1972,4952458000
Asia (excl. China and India),,1973,5202904000
Asia (excl. China and India),,1974,5173140000
Asia (excl. China and India),,1975,5139039000
Asia (excl. China and India),,1976,5311163000
Asia (excl. China and India),,1977,5383806500
Asia (excl. China and India),,1978,5499139600
Asia (excl. China and India),,1979,5555933000
Asia (excl. China and India),,1980,5469929000
Asia (excl. China and India),,1981,5340276700
Asia (excl. China and India),,1982,5214735400
Asia (excl. China and India),,1983,5310443500
Asia (excl. China and India),,1984,6086817000
Asia (excl. China and India),,1985,6448387600
Asia (excl. China and India),,1986,6873026000
Asia (excl. China and India),,1987,6649644000
Asia (excl. China and India),,1988,6686431700
Asia (excl. China and India),,1989,6702661000
Asia (excl. China and India),,1990,6571956000
Asia (excl. China and India),,1991,7038114000
Asia (excl. China and India),,1992,6877434000
Asia (excl. China and India),,1993,6904153600
Asia (excl. China and India),,1994,7275709000
Asia (excl. China and India),,1995,7237722000
Asia (excl. China and India),,1996,7422604000
Asia (excl. China and India),,1997,9250964000
Asia (excl. China and India),,1998,7398079500
Asia (excl. China and India),,1999,7593542000
Asia (excl. China and India),,2000,7935803400
Asia (excl. China and India),,2001,7808950300
Asia (excl. China and India),,2002,8239601700
Asia (excl. China and India),,2003,8226708000
Asia (excl. China and India),,2004,8600282000
Asia (excl. China and India),,2005,8687896000
Asia (excl. China and India),,2006,9513863000
Asia (excl. China and India),,2007,9208214000
Asia (excl. China and India),,2008,9468501000
Asia (excl. China and India),,2009,9918940000
Asia (excl. China and India),,2010,10067838000
Asia (excl. China and India),,2011,10517870000
Asia (excl. China and India),,2012,10823971000
Asia (excl. China and India),,2013,10963401000
Asia (excl. China and India),,2014,11397325000
Asia (excl. China and India),,2015,11812200000
Asia (excl. China and India),,2016,11055118000
Asia (excl. China and India),,2017,11242022000
Asia (excl. China and India),,2018,11355457000
Asia (excl. China and India),,2019,11745010000
Asia (excl. China and India),,2020,11136813000
Asia (excl. China and India),,2021,11362735000
Asia (excl. China and India),,2022,11467729000
Asia (excl. China and India),,2023,11680978000
Asia (excl. China and India),,2024,11750124000
China,CHN,1970,2492342300
China,CHN,1971,2289570300
China,CHN,1972,2837549600
China,CHN,1973,2797209900
China,CHN,1974,2815046000
China,CHN,1975,2882924800
China,CHN,1976,2807751000
China,CHN,1977,3343368700
China,CHN,1978,3705421800
China,CHN,1979,3232371000
China,CHN,1980,3181316600
China,CHN,1981,3101301500
China,CHN,1982,3233354200
China,CHN,1983,3330965500
China,CHN,1984,3463252200
China,CHN,1985,3560514000
China,CHN,1986,3684369000
China,CHN,1987,3851818200
China,CHN,1988,4062890800
China,CHN,1989,4144588800
China,CHN,1990,4205167400
