Entity,Code,Year,ghg_emissions_per_capita
Asia,OWID_ASI,1970,3.7568483
Asia,OWID_ASI,1971,3.714731
Asia,OWID_ASI,1972,3.944447
Asia,OWID_ASI,1973,3.946759
Asia,OWID_ASI,1974,3.8541787
Asia,OWID_ASI,1975,3.7921789
Asia,OWID_ASI,1976,3.7517436
Asia,OWID_ASI,1977,3.9779527
Asia,OWID_ASI,1978,4.072887
Asia,OWID_ASI,1979,3.825429
Asia,OWID_ASI,1980,3.7114816
Asia,OWID_ASI,1981,3.584848
Asia,OWID_ASI,1982,3.507431
Asia,OWID_ASI,1983,3.5578942
Asia,OWID_ASI,1984,3.7934334
Asia,OWID_ASI,1985,3.8870063
Asia,OWID_ASI,1986,4.0203953
Asia,OWID_ASI,1987,3.918444
Asia,OWID_ASI,1988,3.9601798
Asia,OWID_ASI,1989,3.9272697
Asia,OWID_ASI,1990,3.834115
Asia,OWID_ASI,1991,3.9515848
Asia,OWID_ASI,1992,3.8968604
Asia,OWID_ASI,1993,3.8856943
Asia,OWID_ASI,1994,4.0344763
Asia,OWID_ASI,1995,4.0442667
Asia,OWID_ASI,1996,4.1242604
Asia,OWID_ASI,1997,4.56533
Asia,OWID_ASI,1998,3.9648235
Asia,OWID_ASI,1999,4.025085
Asia,OWID_ASI,2000,4.063108
Asia,OWID_ASI,2001,3.9735775
Asia,OWID_ASI,2002,4.1155076
Asia,OWID_ASI,2003,4.2762628
Asia,OWID_ASI,2004,4.45446
Asia,OWID_ASI,2005,4.619423
Asia,OWID_ASI,2006,4.961695
Asia,OWID_ASI,2007,4.986016
Asia,OWID_ASI,2008,5.158964
Asia,OWID_ASI,2009,5.324088
Asia,OWID_ASI,2010,5.479263
Asia,OWID_ASI,2011,5.7879715
Asia,OWID_ASI,2012,5.8809824
Asia,OWID_ASI,2013,5.875582
Asia,OWID_ASI,2014,5.9299
Asia,OWID_ASI,2015,5.967216
Asia,OWID_ASI,2016,5.699557
Asia,OWID_ASI,2017,5.7492113
Asia,OWID_ASI,2018,5.84551
Asia,OWID_ASI,2019,5.951367
Asia,OWID_ASI,2020,5.7816052
Asia,OWID_ASI,2021,5.9399676
Asia,OWID_ASI,2022,6.064611
Asia,OWID_ASI,2023,6.2254395
Asia,OWID_ASI,2024,6.2676706
China,CHN,1970,3.027226
China,CHN,1971,2.7125366
China,CHN,1972,3.2854261
China,CHN,1973,3.1693664
China,CHN,1974,3.1267602
China,CHN,1975,3.1468964
China,CHN,1976,3.017879
China,CHN,1977,3.5434067
China,CHN,1978,3.8753097
China,CHN,1979,3.3347888
China,CHN,1980,3.2357957
China,CHN,1981,3.1083853
China,CHN,1982,3.190008
China,CHN,1983,3.2368858
China,CHN,1984,3.3177693
China,CHN,1985,3.3595848
China,CHN,1986,3.4202135
China,CHN,1987,3.5137355
China,CHN,1988,3.6430504
China,CHN,1989,3.654869
China,CHN,1990,3.6453106
China,CHN,1991,3.6856005
China,CHN,1992,3.7532098
China,CHN,1993,3.834729
China,CHN,1994,4.0542502
China,CHN,1995,4.2219105
China,CHN,1996,4.3535914
China,CHN,1997,4.284824
China,CHN,1998,4.1534085
China,CHN,1999,4.2391458
China,CHN,2000,4.160504
China,CHN,2001,4.1308656
China,CHN,2002,4.3518033
China,CHN,2003,4.923224
China,CHN,2004,5.253505
China,CHN,2005,5.764417
China,CHN,2006,6.2331123
China,CHN,2007,6.5633135
China,CHN,2008,6.9308395
China,CHN,2009,7.184018
China,CHN,2010,7.62744
China,CHN,2011,8.345987
China,CHN,2012,8.416323
China,CHN,2013,8.4788885
China,CHN,2014,8.421998
China,CHN,2015,8.339434
China,CHN,2016,8.10709
China,CHN,2017,8.2294655
China,CHN,2018,8.449486
China,CHN,2019,8.656276
China,CHN,2020,8.781991
China,CHN,2021,9.084501
China,CHN,2022,9.435246
China,CHN,2023,9.79513
China,CHN,2024,9.939262
High-income countries,OWID_HIC,1970,16.05285
High-income countries,OWID_HIC,1971,16.01864
High-income countries,OWID_HIC,1972,16.366129
High-income countries,OWID_HIC,1973,16.821606
High-income countries,OWID_HIC,1974,16.561653
High-income countries,OWID_HIC,1975,16.23228
High-income countries,OWID_HIC,1976,16.753193
High-income countries,OWID_HIC,1977,16.955296
High-income countries,OWID_HIC,1978,17.027102
High-income countries,OWID_HIC,1979,17.217955
High-income countries,OWID_HIC,1980,17.093805
High-income countries,OWID_HIC,1981,16.326462
High-income countries,OWID_HIC,1982,15.816393
High-income countries,OWID_HIC,1983,15.713922
High-income countries,OWID_HIC,1984,15.864026
High-income countries,OWID_HIC,1985,16.02366
High-income countries,OWID_HIC,1986,15.844183
High-income countries,OWID_HIC,1987,15.906177
High-income countries,OWID_HIC,1988,16.152151
High-income countries,OWID_HIC,1989,16.167734
High-income countries,OWID_HIC,1990,16.484308
High-income countries,OWID_HIC,1991,16.562965
High-income countries,OWID_HIC,1992,15.652069
High-income countries,OWID_HIC,1993,15.474618
High-income countries,OWID_HIC,1994,15.288148
High-income countries,OWID_HIC,1995,15.248458
High-income countries,OWID_HIC,1996,15.76699
High-income countries,OWID_HIC,1997,15.220239
High-income countries,OWID_HIC,1998,15.127813
High-income countries,OWID_HIC,1999,15.207128
High-income countries,OWID_HIC,2000,15.437633
High-income countries,OWID_HIC,2001,15.197497
High-income countries,OWID_HIC,2002,15.106765
High-income countries,OWID_HIC,2003,15.435704
High-income countries,OWID_HIC,2004,15.450152
High-income countries,OWID_HIC,2005,15.42955
High-income countries,OWID_HIC,2006,15.155237
High-income countries,OWID_HIC,2007,15.2839575
High-income countries,OWID_HIC,2008,15.058811
High-income countries,OWID_HIC,2009,14.190515
High-income countries,OWID_HIC,2010,14.8614645
High-income countries,OWID_HIC,2011,14.405339
High-income countries,OWID_HIC,2012,14.444268
High-income countries,OWID_HIC,2013,14.155167
High-income countries,OWID_HIC,2014,13.901741
High-income countries,OWID_HIC,2015,13.909779
High-income countries,OWID_HIC,2016,13.7454195
High-income countries,OWID_HIC,2017,13.74529
High-income countries,OWID_HIC,2018,13.702745
High-income countries,OWID_HIC,2019,13.383387
High-income countries,OWID_HIC,2020,12.364862
High-income countries,OWID_HIC,2021,12.929163
High-income countries,OWID_HIC,2022,12.880075
High-income countries,OWID_HIC,2023,12.558826
High-income countries,OWID_HIC,2024,12.498196
India,IND,1970,1.6576868
India,IND,1971,1.6981277
India,IND,1972,1.8177199
India,IND,1973,1.7712023
India,IND,1974,1.7222794
India,IND,1975,1.694226
India,IND,1976,1.6330882
India,IND,1977,1.8023868
India,IND,1978,1.6886986
India,IND,1979,1.6154119
India,IND,1980,1.6236923
India,IND,1981,1.6770736
India,IND,1982,1.607085
India,IND,1983,1.7624065
India,IND,1984,1.6681472
India,IND,1985,1.6665326
India,IND,1986,1.7233906
India,IND,1987,1.6742402
India,IND,1988,1.7820164
India,IND,1989,1.7902153
India,IND,1990,1.765275
India,IND,1991,1.7664651
India,IND,1992,1.8084368
India,IND,1993,1.7766638
India,IND,1994,1.7805524
India,IND,1995,1.7834018
India,IND,1996,1.8553319
India,IND,1997,1.8329042
India,IND,1998,1.8218088
India,IND,1999,1.8681607
India,IND,2000,1.8960602
India,IND,2001,1.8557158
India,IND,2002,1.8167312
India,IND,2003,1.844153
India,IND,2004,1.8743116
India,IND,2005,1.9099836
India,IND,2006,1.9819561
India,IND,2007,2.0876157
India,IND,2008,2.1866574
India,IND,2009,2.2341857
India,IND,2010,2.290449
India,IND,2011,2.3392677
India,IND,2012,2.474445
India,IND,2013,2.411407
India,IND,2014,2.4513626
India,IND,2015,2.4776824
India,IND,2016,2.503832
India,IND,2017,2.5123892
India,IND,2018,2.630617
India,IND,2019,2.601096
India,IND,2020,2.4500115
India,IND,2021,2.614627
India,IND,2022,2.71498
India,IND,2023,2.8659418
India,IND,2024,2.9376976
World,OWID_WRL,1970,7.8232393
World,OWID_WRL,1971,7.677445
World,OWID_WRL,1972,7.833436
World,OWID_WRL,1973,7.899843
